# sw_down lw_down tot_rain tot_snow t wind pstar q
1.9630e-02 2.7775e+02 0.0000e+00 0.0000e+00 2.7116e+02 2.0222e+00 9.6599e+04 3.2985e-03
0.0000e+00 2.8236e+02 0.0000e+00 0.0000e+00 2.7212e+02 1.7402e+00 9.6543e+04 3.5348e-03
0.0000e+00 2.8155e+02 0.0000e+00 0.0000e+00 2.7161e+02 1.9595e+00 9.6482e+04 3.3698e-03
3.6386e+01 2.8130e+02 0.0000e+00 0.0000e+00 2.7257e+02 1.4351e+00 9.6480e+04 3.5604e-03
2.2566e+02 2.6833e+02 0.0000e+00 0.0000e+00 2.7612e+02 1.4208e+00 9.6373e+04 3.5856e-03
1.8189e+02 2.4638e+02 0.0000e+00 0.0000e+00 2.7585e+02 1.4632e+00 9.6333e+04 3.3437e-03
1.6225e+00 2.4159e+02 0.0000e+00 0.0000e+00 2.7200e+02 2.2769e+00 9.6328e+04 2.8952e-03
0.0000e+00 2.3455e+02 0.0000e+00 0.0000e+00 2.6999e+02 2.4390e+00 9.6279e+04 2.5434e-03
1.9924e-02 2.2724e+02 0.0000e+00 0.0000e+00 2.6924e+02 2.3274e+00 9.6177e+04 2.3947e-03
0.0000e+00 2.4325e+02 0.0000e+00 0.0000e+00 2.7002e+02 1.5712e+00 9.6177e+04 2.4904e-03
0.0000e+00 2.6814e+02 0.0000e+00 0.0000e+00 2.7053e+02 1.1908e+00 9.6165e+04 2.5795e-03
2.1160e+01 2.8369e+02 0.0000e+00 0.0000e+00 2.7152e+02 9.6509e-01 9.6234e+04 2.7970e-03
1.7500e+02 2.7958e+02 0.0000e+00 0.0000e+00 2.7445e+02 7.6052e-01 9.6168e+04 3.2443e-03
1.2074e+02 2.7226e+02 0.0000e+00 0.0000e+00 2.7411e+02 1.2209e+00 9.6236e+04 3.4783e-03
1.5886e+00 2.7470e+02 0.0000e+00 0.0000e+00 2.7227e+02 8.7272e-01 9.6341e+04 3.3403e-03
